file	condition	lab	A
180	s.559	B	lab1	1
181	s.560	B	lab1	1
182	s.562	B	lab1	1
183	s.564	B	lab1	1
184	s.566	B	lab1	1
185	s.567	B	lab1	1
186	s.568	B	lab1	1
187	s.572	B	lab1	1
188	s.574	B	lab1	1
189	s.578	B	lab1	1
190	s.580	B	lab1	1
191	s.583	B	lab1	1
192	s.584	B	lab1	1
193	s.587	B	lab1	1
194	s.589	B	lab1	1
195	s.591	B	lab1	1
196	s.592	B	lab1	1
197	s.594	B	lab1	1
198	s.595	B	lab1	1
199	s.596	B	lab1	1
200	s.600	B	lab1	1
201	s.5	A	lab2	0
202	s.11	A	lab2	0
203	s.15	A	lab2	0
204	s.16	A	lab2	0
205	s.21	A	lab2	0
206	s.26	A	lab2	0
207	s.27	A	lab2	0
208	s.31	A	lab2	0
209	s.34	A	lab2	0
210	s.35	A	lab2	0
211	s.38	A	lab2	0
212	s.47	A	lab2	0
213	s.58	A	lab2	0
214	s.59	A	lab2	0
215	s.60	A	lab2	0
216	s.62	A	lab2	0
217	s.63	A	lab2	0
218	s.77	A	lab2	0
219	s.83	A	lab2	0
220	s.84	A	lab2	0
221	s.86	A	lab2	0
222	s.90	A	lab2	0
223	s.97	A	lab2	0
224	s.98	A	lab2	0
225	s.99	A	lab2	0
226	s.100	A	lab2	0
227	s.101	A	lab2	0
228	s.104	A	lab2	0
229	s.112	A	lab2	0
230	s.113	A	lab2	0
231	s.116	A	lab2	0
232	s.117	A	lab2	0
233	s.118	A	lab2	0
234	s.122	A	lab2	0
235	s.123	A	lab2	0
236	s.124	A	lab2	0
237	s.125	A	lab2	0
238	s.126	A	lab2	0
239	s.127	A	lab2	0
240	s.128	A	lab2	0
241	s.129	A	lab2	0
242	s.130	A	lab2	0
243	s.141	A	lab2	0
244	s.142	A	lab2	0
245	s.147	A	lab2	0
246	s.148	A	lab2	0
247	s.151	A	lab2	0
248	s.153	A	lab2	0
249	s.155	A	lab2	0
250	s.157	A	lab2	0
251	s.158	A	lab2	0
252	s.159	A	lab2	0
253	s.163	A	lab2	0
254	s.166	A	lab2	0
255	s.168	A	lab2	0
256	s.170	A	lab2	0
257	s.173	A	lab2	0
258	s.176	A	lab2	0
259	s.178	A	lab2	0
260	s.180	A	lab2	0
261	s.181	A	lab2	0
262	s.191	A	lab2	0
263	s.192	A	lab2	0
264	s.194	A	lab2	0
265	s.196	A	lab2	0
266	s.198	A	lab2	0
267	s.201	A	lab2	0
268	s.208	A	lab2	0
269	s.209	A	lab2	0
270	s.212	A	lab2	0
271	s.214	A	lab2	0
272	s.215	A	lab2	0
273	s.219	A	lab2	0
274	s.221	A	lab2	0
275	s.222	A	lab2	0
276	s.224	A	lab2	0
277	s.228	A	lab2	0
278	s.229	A	lab2	0
279	s.234	A	lab2	0
280	s.237	A	lab2	0
281	s.242	A	lab2	0
282	s.244	A	lab2	0
283	s.245	A	lab2	0
284	s.246	A	lab2	0
285	s.249	A	lab2	0
286	s.250	A	lab2	0
287	s.260	A	lab2	0
288	s.262	A	lab2	0
289	s.265	A	lab2	0
290	s.266	A	lab2	0
291	s.271	A	lab2	0
292	s.273	A	lab2	0
293	s.275	A	lab2	0
294	s.278	A	lab2	0
295	s.281	A	lab2	0
296	s.283	A	lab2	0
297	s.284	A	lab2	0
298	s.285	A	lab2	0
299	s.286	A	lab2	0
300	s.292	A	lab2	0
301	s.303	B	lab2	1
302	s.322	B	lab2	1
303	s.324	B	lab2	1
304	s.325	B	lab2	1
305	s.326	B	lab2	1
306	s.330	B	lab2	1
307	s.332	B	lab2	1
308	s.336	B	lab2	1
309	s.341	B	lab2	1
310	s.344	B	lab2	1
311	s.348	B	lab2	1
312	s.351	B	lab2	1
313	s.354	B	lab2	1
314	s.356	B	lab2	1
315	s.359	B	lab2	1
316	s.362	B	lab2	1
317	s.363	B	lab2	1
318	s.364	B	lab2	1
319	s.365	B	lab2	1
320	s.367	B	lab2	1
321	s.368	B	lab2	1
322	s.369	B	lab2	1
323	s.371	B	lab2	1
324	s.372	B	lab2	1
325	s.376	B	lab2	1
326	s.379	B	lab2	1
327	s.382	B	lab2	1
328	s.385	B	lab2	1
329	s.386	B	lab2	1
330	s.391	B	lab2	1
331	s.394	B	lab2	1
332	s.397	B	lab2	1
333	s.398	B	lab2	1
334	s.399	B	lab2	1
335	s.404	B	lab2	1
336	s.409	B	lab2	1
337	s.413	B	lab2	1
338	s.415	B	lab2	1
339	s.416	B	lab2	1
340	s.423	B	lab2	1
341	s.424	B	lab2	1
342	s.427	B	lab2	1
343	s.430	B	lab2	1
344	s.433	B	lab2	1
345	s.435	B	lab2	1
346	s.437	B	lab2	1
347	s.438	B	lab2	1
348	s.442	B	lab2	1
349	s.443	B	lab2	1
350	s.445	B	lab2	1
351	s.446	B	lab2	1
352	s.450	B	lab2	1
353	s.454	B	lab2	1
354	s.456	B	lab2	1
355	s.459	B	lab2	1
356	s.461	B	lab2	1
357	s.462	B	lab2	1
358	s.467	B	lab2	1
359	s.472	B	lab2	1
360	s.473	B	lab2	1
361	s.475	B	lab2	1
362	s.477	B	lab2	1
363	s.478	B	lab2	1
364	s.480	B	lab2	1
365	s.482	B	lab2	1
366	s.483	B	lab2	1
367	s.484	B	lab2	1
368	s.489	B	lab2	1
369	s.500	B	lab2	1
370	s.505	B	lab2	1
371	s.506	B	lab2	1
372	s.509	B	lab2	1
373	s.512	B	lab2	1
374	s.515	B	lab2	1
375	s.517	B	lab2	1
376	s.519	B	lab2	1
377	s.520	B	lab2	1
378	s.524	B	lab2	1
379	s.527	B	lab2	1
380	s.528	B	lab2	1
381	s.530	B	lab2	1
382	s.531	B	lab2	1
383	s.540	B	lab2	1
384	s.541	B	lab2	1
385	s.554	B	lab2	1
386	s.555	B	lab2	1
387	s.565	B	lab2	1
388	s.569	B	lab2	1
389	s.570	B	lab2	1
390	s.571	B	lab2	1
391	s.573	B	lab2	1
392	s.575	B	lab2	1
393	s.577	B	lab2	1
394	s.579	B	lab2	1
395	s.581	B	lab2	1
396	s.586	B	lab2	1
397	s.588	B	lab2	1
398	s.597	B	lab2	1
399	s.598	B	lab2	1
400	s.599	B	lab2	1
401	s.1	A	lab3	0
402	s.2	A	lab3	0
403	s.6	A	lab3	0
404	s.7	A	lab3	0
405	s.10	A	lab3	0
406	s.13	A	lab3	0
407	s.14	A	lab3	0
408	s.18	A	lab3	0
409	s.22	A	lab3	0
410	s.28	A	lab3	0
411	s.29	A	lab3	0
412	s.30	A	lab3	0
413	s.33	A	lab3	0
414	s.40	A	lab3	0
415	s.41	A	lab3	0
416	s.42	A	lab3	0
417	s.50	A	lab3	0
418	s.65	A	lab3	0
419	s.66	A	lab3	0
420	s.67	A	lab3	0
421	s.69	A	lab3	0
422	s.71	A	lab3	0
423	s.72	A	lab3	0
424	s.74	A	lab3	0
425	s.78	A	lab3	0
426	s.79	A	lab3	0
427	s.81	A	lab3	0
428	s.89	A	lab3	0
429	s.91	A	lab3	0
430	s.92	A	lab3	0
431	s.94	A	lab3	0
432	s.95	A	lab3	0
433	s.102	A	lab3	0
434	s.103	A	lab3	0
435	s.105	A	lab3	0
436	s.106	A	lab3	0
437	s.109	A	lab3	0
438	s.111	A	lab3	0
439	s.114	A	lab3	0
440	s.120	A	lab3	0
441	s.121	A	lab3	0
442	s.133	A	lab3	0
443	s.135	A	lab3	0
444	s.136	A	lab3	0
445	s.137	A	lab3	0
446	s.138	A	lab3	0
447	s.139	A	lab3	0
448	s.143	A	lab3	0
449	s.144	A	lab3	0
450	s.146	A	lab3	0
451	s.152	A	lab3	0
452	s.154	A	lab3	0
453	s.156	A	lab3	0
454	s.160	A	lab3	0
455	s.161	A	lab3	0
456	s.162	A	lab3	0
457	s.164	A	lab3	0
458	s.169	A	lab3	0
459	s.171	A	lab3	0
460	s.172	A	lab3	0
461	s.174	A	lab3	0
462	s.175	A	lab3	0
463	s.179	A	lab3	0
464	s.185	A	lab3	0
465	s.189	A	lab3	0
466	s.195	A	lab3	0
467	s.199	A	lab3	0
468	s.200	A	lab3	0
469	s.206	A	lab3	0
470	s.207	A	lab3	0
471	s.213	A	lab3	0
472	s.220	A	lab3	0
473	s.225	A	lab3	0
474	s.226	A	lab3	0
475	s.235	A	lab3	0
476	s.238	A	lab3	0
477	s.241	A	lab3	0
478	s.243	A	lab3	0
479	s.247	A	lab3	0
480	s.251	A	lab3	0
481	s.253	A	lab3	0
482	s.254	A	lab3	0
483	s.257	A	lab3	0
484	s.258	A	lab3	0
485	s.259	A	lab3	0
486	s.261	A	lab3	0
487	s.264	A	lab3	0
488	s.268	A	lab3	0
489	s.269	A	lab3	0
490	s.270	A	lab3	0
491	s.272	A	lab3	0
492	s.276	A	lab3	0
493	s.280	A	lab3	0
494	s.287	A	lab3	0
495	s.289	A	lab3	0
496	s.290	A	lab3	0
497	s.291	A	lab3	0
498	s.293	A	lab3	0
499	s.295	A	lab3	0
500	s.299	A	lab3	0
501	s.306	B	lab3	1
502	s.307	B	lab3	1
503	s.308	B	lab3	1
504	s.310	B	lab3	1
505	s.311	B	lab3	1
506	s.314	B	lab3	1
507	s.315	B	lab3	1
508	s.318	B	lab3	1
509	s.321	B	lab3	1
510	s.323	B	lab3	1
511	s.327	B	lab3	1
512	s.328	B	lab3	1
513	s.331	B	lab3	1
514	s.335	B	lab3	1
515	s.337	B	lab3	1
516	s.338	B	lab3	1
517	s.339	B	lab3	1
518	s.342	B	lab3	1
519	s.345	B	lab3	1
520	s.347	B	lab3	1
521	s.349	B	lab3	1
522	s.350	B	lab3	1
523	s.357	B	lab3	1
524	s.366	B	lab3	1
525	s.373	B	lab3	1
526	s.377	B	lab3	1
527	s.380	B	lab3	1
528	s.381	B	lab3	1
529	s.383	B	lab3	1
530	s.384	B	lab3	1
531	s.388	B	lab3	1
532	s.389	B	lab3	1
533	s.390	B	lab3	1
534	s.392	B	lab3	1
535	s.393	B	lab3	1
536	s.401	B	lab3	1
537	s.402	B	lab3	1
538	s.403	B	lab3	1
539	s.405	B	lab3	1
540	s.407	B	lab3	1
541	s.410	B	lab3	1
542	s.411	B	lab3	1
543	s.418	B	lab3	1
544	s.420	B	lab3	1
545	s.422	B	lab3	1
546	s.428	B	lab3	1
547	s.429	B	lab3	1
548	s.434	B	lab3	1
549	s.436	B	lab3	1
550	s.439	B	lab3	1
551	s.440	B	lab3	1
552	s.441	B	lab3	1
553	s.444	B	lab3	1
554	s.447	B	lab3	1
555	s.448	B	lab3	1
556	s.451	B	lab3	1
557	s.452	B	lab3	1
558	s.458	B	lab3	1
559	s.465	B	lab3	1
560	s.476	B	lab3	1
561	s.479	B	lab3	1
562	s.481	B	lab3	1
563	s.486	B	lab3	1
564	s.487	B	lab3	1
565	s.488	B	lab3	1
566	s.490	B	lab3	1
567	s.493	B	lab3	1
568	s.496	B	lab3	1
569	s.498	B	lab3	1
570	s.499	B	lab3	1
571	s.502	B	lab3	1
572	s.510	B	lab3	1
573	s.511	B	lab3	1
574	s.514	B	lab3	1
575	s.516	B	lab3	1
576	s.521	B	lab3	1
577	s.523	B	lab3	1
578	s.526	B	lab3	1
579	s.529	B	lab3	1
580	s.532	B	lab3	1
581	s.534	B	lab3	1
582	s.535	B	lab3	1
583	s.536	B	lab3	1
584	s.538	B	lab3	1
585	s.542	B	lab3	1
586	s.543	B	lab3	1
587	s.545	B	lab3	1
588	s.546	B	lab3	1
589	s.547	B	lab3	1
590	s.548	B	lab3	1
591	s.549	B	lab3	1
592	s.550	B	lab3	1
593	s.556	B	lab3	1
594	s.561	B	lab3	1
595	s.563	B	lab3	1
596	s.576	B	lab3	1
597	s.582	B	lab3	1
598	s.585	B	lab3	1
599	s.590	B	lab3	1
600	s.593	B	lab3	1
