"MSP"	"SRS2821229"	"SRS2821227"	"SRS2821226"	"SRS2821225"	"SRS2821224"	"SRS2821223"	"SRS2821222"	"SRS2821221"	"SRS2821218"	"SRS2821217"	"SRS2821215"	"SRS2821213"	"SRS2821212"	"SRS2821210"	"SRS2821207"	"SRS2821206"	"SRS2821205"	"SRS2821204"	"SRS2821020"	"SRS2821017"	"SRS2821016"	"SRS2821015"	"SRS2821014"	"SRS2821012"	"SRS2821011"	"SRS2821010"	"SRS2821009"	"SRS2821008"	"SRS2821007"	"SRS2821005"	"SRS2821004"	"SRS2821003"	"SRS2821002"	"SRS2821001"	"SRS2820998"	"SRS2820997"	"SRS2820996"	"SRS2820994"	"SRS2820993"	"SRS2820991"	"SRS2820990"	"SRS2820986"	"SRS2820985"	"SRS2820979"	"SRS2820976"	"SRS2820975"	"SRS2820974"	"SRS2820972"	"SRS2820971"	"SRS2820967"	"SRS2820965"	"SRS2820964"	"SRS2820963"	"SRS2820962"	"SRS2820960"	"SRS2820959"	"SRS2820958"	"SRS2820957"	"SRS2820956"	"SRS2820953"	"SRS2820952"	"SRS2820951"	"SRS2820950"	"SRS2820949"	"SRS2820947"	"SRS2820946"	"SRS2820943"	"SRS2820942"	"SRS2820941"	"SRS2820940"	"SRS2820939"	"SRS2820937"	"SRS2820936"	"SRS2820935"	"SRS2820933"	"SRS2820932"	"SRS2820929"	"SRS2820928"	"SRS2820926"	"SRS2820924"	"SRS2820923"	"SRS2820922"	"SRS2820918"	"SRS2820917"	"SRS2820914"	"SRS2820910"	"SRS2820909"	"SRS2820905"	"SRS2820904"	"SRS2820902"	"SRS2820901"	"SRS2820898"	"SRS2820897"	"SRS2820896"	"SRS2820895"	"SRS2820894"	"SRS2816074"	"SRS2816073"	"SRS2816072"	"SRS2816071"	"SRS2816070"	"SRS2816069"	"SRS2816066"	"SRS2816065"	"SRS2816063"	"SRS2816062"	"SRS2816052"	"SRS2816048"	"SRS2816045"	"SRS2816044"	"SRS2815679"	"SRS2815678"	"SRS2815677"	"SRS2815673"	"SRS2815672"
"msp_0018"	0	28	0	7	0	10	7	0	25	10	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	22	0	0	0	0	0	33	97	0	8	8	0	61	12	0	0	0	0	0	0	0	0	0	229	2337	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	0	34	888	95	0	0	0	0	251	0	0	0	0	0	16	0	0	0	0	57	0	0
"msp_0020"	0	520	0	483	0	0	68	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	24	0	54	0	0	0	10	0	0	0	0	0	0	123	0	0	0	0	0	0	0	76	0	0	23	0	0	87	0	190	0	0	48	0	0	0	0	23	0	121	0	0	15	24	0	0	0	25	43	44	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	109	0	144	0	0	0
"msp_0021"	30	1598	3458	29	2394	274	472	1826	78	117	417	1018	1216	15	996	6132	3227	146	234	165	1365	183	5402	375	2663	4578	932	147	80	93	478	126	920	127	858	194	4394	599	499	1052	36	437	22	3382	5710	530	897	5317	1226	295	316	650	11865	5322	250	385	2403	2429	36	749	2480	106	6592	3862	1282	274	24197	22733	1922	1597	1076	21	17119	2374	30904	5425	592	3603	992	1161	62	6429	2612	1616	35	11	1697	7960	10828	33	117	462	1588	1585	616	18050	2890	212	16928	218	9872	13189	1053	1706	66	2750	33	5334	188	7643	19778	1171	220	105	6468
"msp_0022"	18	25957	7412	36601	2529	354	4159	0	1740	0	6622	116	33	4950	0	0	14	375	10	280	8	1038	368	3765	0	0	16	5	13	11	73	179	22	224	344	57	976	0	0	58	0	185	0	21411	0	0	0	0	1553	16	29	21	26	0	77	12	22	2288	55	7326	1488	437	0	2924	29103	0	0	123	13	7	259	18	17	1309	25	9	442	2397	0	777	0	0	150	955	484	112	778	0	33057	816	2640	572	28	28	35330	34	26	83	0	14	345	0	0	0	852	3464	696	0	1638	20	12	0	92	5899	0
"msp_0023"	151	1378	9921	1651	251	1361	819	15	9784	555	1826	84	12	713	6006	6247	190	235	4099	51	1178	7755	9031	4398	2170	10	842	91	13768	1731	190	1016	6960	334	7092	12320	20	2978	1969	5734	8907	1805	38	7768	10454	6971	1429	0	10754	975	6306	67	63	708	2265	3555	58	3252	12	629	2534	158	91	4535	10225	5682	32176	5754	9	539	7668	5665	8318	2042	13144	31	176	4532	21931	90	167	8	1655	320	443	6271	386	7615	1565	3856	4294	5367	1959	4053	5688	15	31212	10268	31504	10933	6344	3445	8095	5765	1416	65	3304	1201	18547	31	530	2800	6921	913	7323
"msp_0024"	0	181	0	344	0	13	14	0	32	0	0	0	430	24	0	0	0	0	73	14	38	0	55	12	0	65	8	0	17	202	7	5	28	0	12	40	71	30	13	280	476	49	238	28	755	66	0	30	0	18	34	21	1547	552	9	77	20	11	0	0	10	0	243	11	24	448	618	146	125	0	823	18	8	0	107	21	0	0	24	0	0	19	0	24	0	10	15	76	25	0	28	28	19	31	40	108	874	0	52	282	0	0	13	8	285	0	20	8	248	0	51	47	57	28	12
"msp_0025"	214	0	441	0	0	3673	0	0	14	1347	14	0	0	249	0	0	0	0	8	11	11	0	0	0	0	0	12	11	14	12	25	216	12142	11	1736	0	5712	0	38	0	0	0	0	0	15	0	646	0	0	35	5515	14	18	0	17	15	23	0	0	0	0	0	0	3059	0	411	0	0	1949	0	0	0	0	0	0	0	0	617	15	15	0	0	10	0	48	5308	9	12	12	11	0	0	6	56	23	0	0	19	28	31	280	19903	4967	0	5228	0	7	0	0	31	0	0	7	0	0
"msp_0027"	43	3114	1186	23	2426	5536	5695	5257	3176	1305	5230	1440	17	1643	8266	4035	20	364	49	43	4826	1143	1392	2118	2532	12	1091	392	57	35	1301	211	2202	956	5487	2137	11992	1902	2708	3977	14913	1937	7635	0	14131	8997	543	148	2557	3589	23871	4397	71	4343	3361	1492	200	2644	16	1418	16876	913	44	2065	4354	81	4262	3424	4417	738	3567	20	17617	3161	2527	10	2044	4087	16	2556	707	0	5426	6209	2522	1519	14	4781	6091	4242	2099	7725	3679	27047	2881	868	16734	5682	0	4843	6574	39	8485	1958	21298	8559	5042	567	2270	1054	3005	337	1348	2966	0
"msp_0028"	9	0	2010	0	40	172	27	644	1009	0	64	14	0	113	63	188	226	0	6	0	21	0	53	0	6	204	0	0	0	0	35	21	0	12	0	486	0	0	293	0	30	0	0	154	0	459	0	0	42	215	0	20	0	34	82	9	184	78	0	0	0	155	0	510	36	0	0	0	110	521	0	1823	0	0	83	0	73	24	0	0	0	801	0	175	0	7	100	0	0	82	12	0	0	229	315	5218	0	0	3043	20	0	8	3792	477	551	455	0	0	1543	0	146	0	1156	0	0
"msp_0029"	11	31826	4778	940	41767	2203	214	93	1378	9181	6089	5276	25106	8716	4120	8898	8003	6803	3902	86	94	16173	34950	36	935	29	6573	656	112	92	1031	23857	29209	3678	4654	9240	85	291	8232	4762	761	1966	16	11	22187	2824	2236	6590	32	17201	1383	38110	98	19956	5275	102	23719	10664	56740	11518	1526	2711	13328	3873	31283	28724	6054	54	3877	20234	1884	588	4756	167	2925	39	414	5890	1728	2610	3580	17898	38	39	1133	1174	13617	16	1236	1090	2506	1201	4084	584	5601	6892	2461	3712	0	19034	1691	49	7112	195	10613	881	2775	2676	0	30	24785	10	0	1772	12834
"msp_0031"	348	52001	348	113	16919	6228	15369	4858	37111	500	19696	307	88	71	74	13607	8372	1617	31648	2757	5644	512	1913	154488	48089	75063	3262	424	924	73407	3532	537	497	1125	4450	33	4453	702	2747	4163	33	2363	204	2215	308	51957	1673	78593	66029	859	1150	841	93005	44	1215	22998	16992	11157	74	73609	8321	94	44	293	14288	7998	80	24998	22022	2140	9389	84	44668	52252	139	64	649	17788	35	1883	83	8668	2664	13846	4215	253	75	20606	39662	1116	27941	4455	14747	12702	5291	0	242	13309	0	4568	1166	1658	153	185	18780	367	528	6202	813	6318	3579	7874	1638	3011	30
"msp_0032"	0	12119	1293	7020	3940	1584	5909	8080	3751	36	0	322	9674	475	0	77	78	0	5052	528	673	16	464	138	2752	1020	60	54	56	36	113	760	29620	136	3256	545	23	2492	2145	581	13186	473	23	1548	8628	2064	662	7916	21	17089	2611	2276	85	12174	1912	9134	411	754	10911	1013	384	0	52	626	72	170	31922	0	7221	461	429	1315	3794	647	630	9	473	3196	57509	5646	257	14944	97	0	241	201	11519	4448	1613	747	2665	9731	631	0	6291	71869	0	6007	0	470	2978	411	33045	12578	1935	256	324	52927	1567	13030	3210	1572	222	0	27725
"msp_0033"	0	0	11	0	11	9	25	0	0	0	0	0	0	0	0	6052	0	0	59	175	98	35	28	21	27	22	53	53	403	71	92	64	47	55	165	15	14021	32	25529	35417	7465	0	10	9	12560	9	0	616	7	340	534	3238	61602	1800	64	60	104	7	5031	0	214	9	28502	0	12975	715	718	2815	5	7	1261	6271	11	9	1561	9	0	7	11292	60	54	0	22	685	138	21	20	23	23	18	0	0	5	0	11	0	23	24	3936	20	491	26550	0	0	14	21	12	0	0	41	1485	4656	8	7170	17
"msp_0034"	0	9	5063	6614	7635	339	11181	25	25	134	38672	363	14	19950	122	1500	1334	230	0	48	11	1165	534	0	0	0	3509	101	14	0	28	2749	0	968	0	1573	0	190	0	516	0	0	0	1166	0	0	119	8650	0	861	759	2548	19	0	588	8	37	3881	4030	31	0	39	0	206	0	0	0	0	0	23	0	0	1925	4063	0	269	71	0	388	0	190	0	0	0	53	2786	0	0	31	733	0	84	0	0	4532	0	41283	896	743	49	0	0	1014	0	0	286	328	972	0	0	13292	0	0	29	4208
"msp_0035"	0	1362	4569	55	0	0	3052	0	26	1269	38	903	23978	42	0	35776	685	16	99	13159	139	26	0	0	0	0	91	170	195	99	1708	322	169	155	16	15	15046	93	75	4139	0	393	24	39	19	14	0	50678	38	106	128	108	125	0	139	55286	147	54	43	10679	0	118	396	0	47	542	791	8504	15702	11236	2314	98642	36	6557	113	45	33	63	3233	591	968	0	0	0	1046	10	24	23	0	3545	10716	36	802	300	12195	43	7461	0	0	25	0	1812	23690	0	33	1734	39	61400	13	14	38	2855	5887	4235	33
"msp_0036"	0	0	0	48319	0	1960	0	0	3101	0	0	142	18	10557	44	0	3685	30	0	8	14	1088	20	19	28	26	0	0	28	0	34	0	0	15	3424	369	66165	26	58	362	0	213	8	61816	97	261	0	138	2165	9	10	0	7	9736	3865	0	0	0	0	0	0	156	0	0	0	0	0	0	15482	0	111	0	0	0	0	0	26	0	0	191	0	0	9	4200	186	0	41	9	0	14	1299	0	0	0	1450	0	0	0	0	358	0	5696	5597	3220	0	31	0	0	0	0	0	122	0	0	0
"msp_0037"	0	933	15439	7	0	273	12	1109	5486	0	0	0	0	151	0	0	890	0	5	7	102	5	0	12	1531	0	6	11	6	1491	8	10	3427	128	212	90	0	10	78	0	0	2214	0	0	0	125	1545	174	270	5	27	6	11	0	7	5792	11	0	0	10	431	171	4	1230	4589	98	2181	0	0	0	12	0	6111	0	425	5	0	213	0	206	0	3154	1108	0	16	0	5875	2604	0	1850	175	0	88	0	4429	8	0	0	0	0	255	0	84	4878	2035	4422	1561	0	246	0	1220	4369	52	0	11
"msp_0038"	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1184	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	114	0	0	0	0	42	0	6	0	0	0	0	0	0	0	0	68	0	146	0	718	100	0	400	0	0	30	0	341	0	124	0	0	7	0	0
"msp_0039"	0	0	2630	26	6227	1801	0	52	1946	0	40	7844	47	51	32	0	31	10	39	36	49	4118	0	0	0	0	6763	6731	47	48	1217	1595	1623	2129	2823	366	0	8811	2159	50	0	11	0	15	17	9	18477	13764	9	54	7845	12739	69	0	17931	34	46	24909	11255	30	0	7566	121	30	0	187	261	52	13	12	58709	869	10	2580	18	6	5183	13	1113	754	711	0	8	1888	1143	25	2675	0	33	2605	0	814	0	9	10186	7	0	0	0	2821	8680	0	253	3697	0	19414	0	37045	14	0	17340	0	0	0	0
"msp_0040"	8	31	24749	130	7639	5277	10962	42	33	1416	18044	2310	88	121	12	17	26581	1597	78229	205	6887	47	9833	46863	29	27	9945	161	124	147	4081	7194	26787	120	52	4549	13	49	548	36	66	12445	16	31925	2607	18	4760	65	58872	108	127	128	172	119	632	40190	155	28	27	67738	7409	31	0	28731	26	0	0	33	30	18	0	51	51	28800	32718	59	25	40	20	2729	0	62	10950	0	16	15	49814	13	9	12	52839	85	3588	48	40017	46	48	18	0	2022	13	15	0	0	29650	23	13	10557	20403	4132	33592	3798	2765	9263	12
"msp_0041"	647	536	96345	801	511	336993	425	863	319	138436	219	242674	1121	601	27076	237	575	218370	1083	407573	328940	380	208	222	186	225	127348	125986	1562	1080	409788	855	949	1097	160	68033	59	44014	72930	46000	85099	172624	116	0	747	14703	30	0	124	83937	10078	876	952	0	14658	830	918	263	159	232	28	124717	40	166724	109	70	100	846	128	158	19841	185	150	155	316	140	46442	209	407	370846	339244	116	281934	102980	58687	538	87211	308	265	571	401	397841	166	344705	71	8851	241	268	0	17742	24425	1108	21	0	10915	185848	225555	58	69	300	200	176418	212962	251300	179
"msp_0042"	0	0	78	11	994	337	0	12	37715	21	25	1813	0	10	0	0	9	11	10	12	8	13079	14099	8	10	6	10	10	11	12	113	9044	11	674	0	2254	0	11	17022	0	0	12	0	0	17	0	3919	0	0	90	4175	404	10	0	15	14	24	0	4342	0	0	1102	0	13514	0	0	0	0	0	0	0	0	0	0	0	0	74	1212	1702	2227	10083	0	0	0	3160	0	0	0	60	1887	0	3739	0	0	0	0	0	0	0	0	1287	0	0	26	0	0	3554	0	0	0	0	0	7	10	3153
"msp_0043"	378	155	71	240	66474	165	12660	112	26	1902	14	2197	101	52753	3411	53	120	12014	15	34	20	9069	49794	59422	32	33	15290	25	14	16	16	7	0	2604	7730	1876	7	1991	11	0	12	21749	0	0	127	16	7933	0	74	0	15	12	21	2040	557	14	13	48744	74061	79	82366	77	0	18	67	0	0	84	81	50069	0	36547	90	90	188	66	70	91	43	17485	1544	80593	11717	10736	250	52	29518	41	59797	123	38	4752	37	26	26	40361	148	43	50839	134	222	1123	3501	31042	36265	877	13269	0	11524	43	59	43	134	53	38
"msp_0044"	0	0	0	0	0	0	59	22	55	6	18	0	39	22	0	6	7	0	15	0	0	0	145	31	16	0	0	0	0	0	6	21	0	0	17	194	88	195	213	3017	0	209	0	0	853	366	16	0	0	35	4355	6	0	1286	7	21	142	10	10	0	18	18	0	0	0	0	0	0	0	0	6	0	17	11	0	0	0	0	0	0	22	0	9	79	80	0	46	0	0	8	0	0	0	62	507	8	33	13	0	281	0	537	340	6	31	0	10	0	730	0	96	45	18	0	0
"msp_0045"	72	8404	10	27	13	285	5958	6912	1844	3775	0	1494	1438	6516	471	7925	8345	1709	4566	17	23	8104	14	0	1278	15	27	16	56	5236	51	13	211	1322	11708	3041	8034	4155	30	0	0	0	0	22	8033	0	15307	5174	106	996	17	2633	17	3778	19	18	314	12	0	2478	4629	158	8038	32	4763	49	51	8082	12	1526	108	3745	2852	13	9805	5787	0	213	8275	10	143	27	14	263	4193	5923	2218	3429	14	2525	3181	35	6045	210	3036	5956	52	7	0	126	0	130	8907	8623	2619	248	15	0	0	188	1920	17	1083	5119	22
"msp_0046"	181	16587	9319	18879	4627	6580	47857	7842	146333	959	18121	7109	77443	7913	752	7509	13575	312	42428	238	1033	7481	12748	7989	23095	12691	17785	785	394	14329	907	11226	51533	1127	17106	4703	80907	2403	3485	6433	5036	6771	8983	38454	31958	20337	215	1489	14250	16680	30612	10286	13415	61743	2800	10810	8690	17965	90	15108	3140	853	15052	5597	26135	10128	13538	28524	38200	4751	17099	33890	30817	10762	26013	9298	2235	37192	23408	2939	886	100978	1196	17264	1081	3941	17185	46275	6431	2721	17438	4320	19913	5382	31458	26982	35629	42303	47124	7994	6289	21284	41448	13177	32083	2229	23795	23541	28929	7338	58953	6747	11330	8319	94872
"msp_0047"	0	0	9	0	0	0	0	0	3457	0	22040	717	0	8309	0	56	0	0	37	7	0	3423	0	0	0	0	2416	9	0	4	19	841	0	344	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	30	1437	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1659	371	0	0	76	0	0	0	0	13	612	0	0	3672	0	341	0	0	0	0	0	0	92	0	0	0	0	1001	0	0	0	474	0	21	0	0	0	0	2498
"msp_0048"	0	2907	31	412	96	1723	816	20617	1319	3846	6475	144	1862	6021	15	3821	460	8988	71	2423	425	1506	17	44	1037	10	4218	1204	21	46	1720	3363	1065	30	308	1223	2738	522	127	0	0	0	43	5664	676	87	1936	826	129	9	23	777	13	7	2559	22	211	1208	10223	19	5323	5215	48912	1870	1975	4795	5876	46	7566	2184	2132	3146	4123	3924	6479	16	3076	15	117	0	186	1096	0	524	37	95	162	441	0	251	2177	246	3737	352	0	0	85	0	440	0	224	56	0	4949	2214	83	432	4292	1347	0	1105	0	0	0	785
"msp_0049"	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	45	25	0	23	40	0	45	0	82	0	27	9	0	7	29	70	0	0	220	0	0	0	0	0	41	0	0	0	7	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	46	40	12	0	53	0	0	0	0	0	0	0	23	0	0	0	51	0	0	0
"msp_0050"	12043	1216	42	1085	523	98	936	374	1155	1060	0	128	0	1563	0	888	235	1697	1585	610	0	263	1033	91	3663	830	129	311	0	8	299	562	795	161	137	208	1309	444	172	0	0	389	750	1435	677	38	250	73	0	367	345	160	109	0	222	474	664	68	355	186	504	85	1564	107	3535	2113	2755	2678	0	824	3844	4826	2637	2136	1484	553	224	1923	820	868	438	256	298	818	1135	55	0	492	134	298	48	0	118	47	636	0	228	512	916	208	736	1001	44	1204	1149	768	212	763	0	241	896	50	0	62	243
