"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637863"	"ERS2637861"	"ERS2637859"	"ERS2637858"	"ERS2637857"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637812"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637808"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637801"	"ERS2637800"	"ERS2637799"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637792"	"ERS2637791"	"ERS2637790"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_0028"	0	6	0	0	0	0	10	46	17	0	14	0	0	0	26	20	0	0	0	832	0	0	337	0	0	0	0	0	0	0	0	116	6	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2085	0	0	1850	0	0	0	0	40	0	260	684	0	0	0	0	0	134	0	0	0	0
"msp_0029"	5749	17535	19	32	1253	1738	52	934	1858	5071	2125	21105	43152	18352	108	28098	21042	70	3254	0	2355	7444	7890	1537	1714	1910	7383	12003	50266	2671	9947	0	21	1808	3852	370	1666	152	433	17	0	2357	50957	12353	1871	2586	6459	3061	20242	39775	2936	3369	2511	2999	5275	1941	1644	3297	11397	6029	508	5116	10992	72	76	17645	14746	894	3389	469	3738
"msp_0031"	0	0	40301	13	0	3489	0	2820	1865	7129	16	8560	1773	41	1762	0	0	174	0	0	0	0	0	10	0	61	0	32601	251	0	0	0	0	0	5004	0	5984	43352	2091	0	14972	9515	18	1515	20	833	0	0	1662	281	12	54	0	0	708	119	0	0	18647	4642	0	0	5041	0	4455	0	0	14	1576	13	14476
"msp_0032"	0	1628	1166	1585	13979	2872	252	189	124	0	3123	2670	5263	1333	126	1681	4126	137	61896	28045	1154	98	4102	7209	636	2565	3390	353	1910	2903	1251	12387	4319	0	1465	4647	16	2703	176	5447	213	253	76	36	0	56	0	600	2573	13609	13411	65	12453	1314	1636	34	14	136	17330	1848	3887	618	500	50	896	8344	1135	930	542	13729	9495
"msp_0033"	0	0	0	0	3302	0	0	0	0	0	0	0	1883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3464	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	297	0	0	0	0	0	0	0	44	0	0	0	0
"msp_0034"	639	17	7	7	0	0	0	15097	63498	0	475	31381	0	39373	134	46	4452	16762	0	0	0	11	41950	0	0	179	2873	22991	19559	34	32875	0	679	23	125129	43549	1644	46	5	0	234	21414	1455	2100	1291	6514	0	445	36	12716	65493	8804	0	1029	3326	0	829	1494	20424	4	0	767	21914	5143	0	115	29401	220	54409	70805	0
"msp_0035"	5316	0	23960	3725	6108	9648	50	999	100	0	39	6548	32797	1055	579	0	201	5069	76524	11517	12468	810	3296	3041	80	1702	16866	119	58	0	6382	8391	108	10428	1755	3494	14968	0	9918	8303	2846	742	199	4100	0	1075	38084	21181	6106	0	4130	2213	26452	6217	7029	52	89	0	0	152	45750	1118	0	0	2181	14036	8310	0	30	1718	183
"msp_0036"	11	0	29	13	0	28	64	629	1803	0	13349	0	14778	1296	243	0	3016	0	0	0	0	0	0	13	0	0	0	9587	109	0	0	0	0	0	79	0	67	0	0	67250	0	706	4828	0	33	4321	15792	0	50126	0	0	0	0	763	1042	4319	0	0	0	0	78268	0	102	0	4747	0	0	24	918	0	1841
"msp_0037"	56	0	8	0	0	2139	0	13	0	0	0	0	5684	0	28	0	28	0	0	6376	5425	259	0	0	0	6593	0	21	1763	0	0	0	11	0	426	174	5	0	91	0	0	34	0	0	0	12	6733	0	0	0	7903	0	4889	0	0	929	0	90	0	0	4624	0	0	1522	0	0	0	7	977	0	0
"msp_0038"	0	0	0	0	0	0	0	769	47	0	91	0	0	0	0	7	188	621	0	198	108	7350	54	0	0	0	99	17	0	0	0	0	3443	0	0	80	0	0	0	0	0	1459	0	36	0	348	0	0	0	0	0	0	0	1268	9	0	0	0	0	0	0	29	155	574	0	0	167	0	0	0	0
"msp_0039"	0	0	0	0	0	0	0	0	87	0	540	0	0	0	0	13	0	0	0	0	0	0	0	0	0	686	126	0	50	0	0	0	3603	0	2097	302	10653	0	0	0	151	0	0	1753	453	0	0	1713	315	10598	10521	103	14	2299	39865	0	11187	7	0	0	68	14268	0	0	0	0	0	0	115	369	13
"msp_0040"	0	0	23	0	0	5545	3385	57	0	0	10949	0	0	39	6246	27	142	308	0	14482	15618	0	6877	5861	10	36641	0	7030	6067	0	0	0	12087	10280	2068	0	27	0	0	0	0	1857	13	5774	9	71	0	0	76	0	7304	35504	53	1026	5733	31	378	859	0	0	26966	2123	0	894	0	35	6474	18177	4989	31	25981
"msp_0041"	0	143	0	0	0	0	0	99812	0	0	810	0	0	73	0	54	0	0	0	0	90391	48605	0	0	0	0	407	0	90250	0	0	0	719	339	0	17782	274606	0	0	0	0	0	0	237270	9415	0	0	0	397	0	1070	159	0	134502	49663	39164	126302	43971	0	0	0	0	0	801	0	0	0	207	29	202	0
"msp_0042"	38195	0	39	0	4499	21130	0	88	11268	0	14950	0	69395	81230	0	22	0	21	253	0	0	0	1175	12732	19	82	16261	247	12712	14	2147	0	8274	42	9738	1379	144	0	0	22	0	0	1067	1142	1256	46461	0	77	0	0	0	15	865	0	153	0	873	6115	0	835	0	0	0	0	0	0	16896	0	10578	0	0
"msp_0043"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8789	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1860	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
"msp_0044"	0	46	0	29	831	17	28	0	0	0	0	0	31	0	0	0	56	31	48	0	14	0	20	47	0	56	26	0	0	19	16	152	50	0	0	0	34	0	0	7	0	0	0	0	0	0	0	0	92	115	0	0	0	0	0	0	0	0	49	4	99	0	0	94	114	0	0	0	43	0	0
"msp_0045"	0	9	3432	89811	7955	8	22189	0	128	36588	21	8859	0	30783	55	49115	0	2737	11841	5920	0	1853	13960	858	27903	286	6345	10465	0	62697	32926	11111	9069	17030	0	11653	52	24249	4564	28052	57945	5659	4073	4377	35497	5380	7254	44563	0	16526	9376	18019	39	12203	18	1537	3314	2024	12229	14828	158	31660	186	0	902	19680	13936	26	0	5908	6515
"msp_0046"	2136	49678	9674	49985	24823	29989	12610	2294	3451	20448	6426	1933	34224	9588	2571	13154	21142	1037	0	42862	44754	4457	27559	4630	6474	37620	71871	26045	6207	49085	27290	78859	24459	18327	4478	11760	8871	25332	7656	50841	7441	4464	10383	1919	41	7443	46266	33651	50090	1592	17374	14794	62167	2199	3601	2795	608	5874	15377	18679	25623	36311	4801	1395	29872	79720	19619	10158	5052	3716	30256
"msp_0047"	14267	23903	0	0	0	17	0	11745	7	0	7724	4641	0	1997	518	23	1334	1770	0	1485	0	0	0	463	0	127	11	0	16670	310	5	0	3995	0	13316	5394	398	11	0	3045	0	1306	9212	0	441	7319	20013	27	0	1095	0	14474	16	29	122	0	142	226	0	1014	3876	1862	16942	10	0	0	3221	0	15272	19153	0
"msp_0048"	0	5618	1147	0	66	1671	390	926	1020	0	468	1368	207	743	471	5972	568	166	51	9435	31	120	479	1315	2350	164	3013	0	7475	0	2261	4968	428	4137	106	738	1148	338	1019	926	2385	80	2393	1154	0	4135	457	777	2797	299	1174	238	2195	757	2393	56	408	214	0	231	7238	0	909	0	0	584	1935	0	4995	3519	8592
"msp_0049"	0	0	0	0	24	0	0	0	0	9	0	0	51	0	0	0	0	0	18	0	0	0	0	18	0	13	0	0	0	0	0	0	8	45	0	0	0	0	0	19	0	0	0	0	0	0	27	0	0	0	0	6	0	0	0	7	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0
"msp_0050"	3676	0	84	931	174	325	4501	383	27	10246	5211	149	244	3031	652	1878	132	0	689	476	1367	318	251	506	3309	636	888	3847	100	2385	879	3226	2581	579	230	280	757	273	2437	0	2329	2695	1539	821	6794	392	334	2905	348	1650	278	290	1093	554	2869	144	2767	2416	857	264	78	1892	3177	849	259	1118	4186	7605	253	54	901
"msp_0052"	0	181	40	10	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0	0	7	0	58	0	0	0	0	21	7	0	77	0	0	0	0	0	131	0	0	0	0	0	0	14	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0
"msp_0053"	71	10887	518	9228	19445	1585	24955	1631	1191	95	66	2852	21701	73	201	84	76	14624	1792	66592	6637	70024	1931	2933	177	401	686	39647	49	3887	626	37643	2328	124	108	1462	7085	83	0	34366	758	134	4893	195	785	24049	5285	753	18630	0	205	345	3805	6902	2111	137660	198	1527	0	6942	0	262	26053	3021	0	735	10749	757	532	551	0
"msp_0054"	0	0	17	54	674	0	0	0	0	190	45	130	0	37	0	52	1944	571	0	0	0	0	51	45	0	0	0	35	0	0	969	0	34	0	23	0	0	0	0	0	0	16	70	24	0	138	0	30	244	0	0	12	0	0	39	0	0	181	0	0	0	0	129	0	11423	0	0	0	55	0	0
"msp_0055"	35	18631	0	175	397	341	0	10754	1153	182	28901	9069	0	204	144	0	2739	929	4699	0	0	38	219	194	465	1694	1134	251	0	2854	733	141	1842	44	0	6338	919	50	485	153	551	24	2894	4017	708	479	0	517	64	23	155	562	0	64	9519	85	650	2105	1441	3450	0	164	39	0	5278	155	0	23	681	100	199
"msp_0056"	0	23	0	6	84	0	0	0	9	0	11	0	49	0	0	53	34	0	90	0	0	13	0	21	0	63	0	0	0	110	11	125	30	59	0	0	23	0	0	24	0	0	0	0	0	0	16	0	56	0	10	0	0	29	0	0	0	0	82	6	261	32	0	2452	169	34	0	0	0	0	0
"msp_0057"	105	0	121	204	0	424	0	0	21	98	1481	5567	0	518	81	550	234	33	81	602	0	112	0	6998	82	16390	1440	0	206	163	8146	0	5286	25	0	12	103	124	3882	0	438	11448	28	100	0	893	0	169	58	316	2705	75	1015	1074	6618	13147	3218	5038	53	91	54	5840	0	4	18	991	0	74	0	603	2175
"msp_0058"	10	2706	18	287	1399	11	152	0	0	0	20	0	133	76	205	645	0	0	480	889	0	0	0	76	29	114	21	20	0	1571	22	425	24	211	18	0	41	559	0	85	78	2241	0	0	16	94	665	12	2051	0	9	9	488	10	106	12	0	0	6	25	136	304	0	0	16961	206	0	3047	0	3862	12
"msp_0059"	0	0	0	9827	2264	10	4712	88	0	12	4880	1245	3059	15	756	0	55	259	0	0	2030	848	5707	12472	1866	1381	4804	5045	2207	8442	10388	0	1474	8871	2082	2085	5283	2820	994	10475	1595	3633	493	730	8	2212	0	1797	1237	497	2064	3048	14248	2808	1682	22	255	4427	17858	19275	10140	3775	3143	2969	2115	20	3570	5	474	1412	1339
"msp_0060"	87	0	0	0	47	0	0	2506	19	0	23	73	0	496	0	0	378	5405	0	0	0	412	22	100	0	0	0	0	3882	0	0	0	105	42	46	0	0	0	11	0	0	482	84	1519	1513	2254	0	48	0	926	15	44	0	12093	155	0	89	6046	23	136	161	0	657	106	0	0	33	0	0	366	0
"msp_0061"	41	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	36	0
"msp_0062"	2628	1661	770	2948	2662	1736	2068	1327	153	602	822	1783	1106	627	510	265	1429	339	1048	2508	1086	478	2558	14	233	3402	905	2318	2027	3798	4717	3523	1543	1869	103	1536	1610	710	45	1628	973	677	1234	544	17	1486	1817	643	1274	1093	1895	2342	3092	1143	142	481	206	1802	3244	2706	0	0	1382	1568	3205	0	1602	0	2035	370	3034
"msp_0063"	0	0	0	0	0	0	0	0	17	0	745	0	5196	0	0	0	0	0	0	0	760	15	0	0	0	0	0	21	0	0	2113	0	1011	0	0	0	9	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	40	7509	0	0	0	0	1305	0	0	0	56
"msp_0064"	0	0	0	0	0	0	0	22756	286	0	0	0	0	0	0	12	0	51588	0	0	0	0	0	0	0	98	0	0	0	15	0	0	3511	0	0	0	39	0	12	0	0	0	9055	0	5656	12553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8845	0	0	18119	0	0	0	0
"msp_0065"	154	0	0	1649	173	28	0	835	30	2413	0	0	0	3485	730	4280	0	0	0	0	0	1894	60	0	3778	23	4763	0	0	523	23	618	12504	12	0	229	1371	257	708	0	1934	30	869	1273	751	0	0	5890	499	180	169	166	51	336	401	706	124	1958	684	0	0	0	0	38	186	1833	3724	21	0	33	594
"msp_0066"	0	562	395	25	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	854	106	0	0	0	0	726	0	0	0	0	0	2174	0	835	0	0	145	0	289	0	0	0	0	0	0	0	0	0	1668	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	254
"msp_0068"	66641	94	131100	15405	12574	40647	2359	41	9330	7256	56661	8388	0	52413	4741	72352	35515	4622	4613	43811	28951	3583	10588	872	144595	23241	10606	1650	5234	36248	13577	26233	25353	65497	2245	14210	2195	169859	20115	2295	128277	31612	18531	28338	10899	80268	43849	29909	47412	2726	31289	8412	22153	1437	13475	1555	8818	2376	2954	11187	61227	69717	3470	31	2996	79102	34279	120052	18094	13892	86575
"msp_0069"	15465	38445	70849	10679	5989	24816	4828	3576	754	6747	31669	19219	30742	28611	4426	27910	39470	4968	72709	11094	38062	2332	29178	3052	36269	44961	16620	39357	12397	49375	24240	84063	15866	18336	2390	5292	16362	77892	15852	8236	28667	3963	13598	12232	87	21165	36351	32738	63322	9725	15802	7342	25374	5800	9334	5619	719	4956	10868	15357	43210	6704	40991	7010	18341	68722	27537	44986	17401	2279	17625
"msp_0070"	0	0	0	0	0	0	6749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0	0	0	65	0	0	51	0	0	0	0	0	433	0	9413	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3579	0	0	0	0	0
"msp_0071"	2527	0	158	172	1892	56	122	2596	646	0	788	271	162	534	0	63	1501	4902	176	302	1048	1623	178	2594	68	110	954	0	1354	559	106	0	18	142	120	1424	2759	197	48	1361	589	2349	804	1112	18	1208	476	642	125	847	3281	288	4747	1485	595	15	320	2634	13865	274	476	163	496	285	360	966	854	101	812	2569	1178
"msp_0072"	2156	3889	5524	61	567	17518	0	1649	1483	5590	13282	12419	2883	984	4898	1978	9359	50	539	2708	6641	97	1030	453	10505	32505	1272	20473	2508	1214	2573	7333	3369	7867	24	1330	674	10039	9086	0	10586	4755	2170	3200	110	2118	8829	2105	11196	51	5283	1009	625	199	5532	75	2717	357	78	1024	815	4885	963	0	1366	3344	4675	13135	14225	3576	11940
"msp_0073"	0	0	0	233	1204	0	0	194	352	0	57	0	0	0	0	0	108	161	0	852	402	364	106	0	0	0	192	68	0	0	279	90	184	755	0	146	0	0	0	0	0	264	0	96	0	66	0	138	285	0	0	294	0	62	137	0	0	0	0	105	0	101	188	55	0	0	221	0	316	361	0
"msp_0074"	0	0	0	0	0	152	0	370	19	0	1447	3168	0	0	0	0	0	0	189	0	0	0	1700	0	5	199	10	0	0	0	1216	0	0	0	716	0	0	11	0	0	476	829	565	91	0	2613	5940	42	0	0	0	23	0	151	0	0	67	0	67	82	0	0	1050	0	106	0	660	858	0	22	0
"msp_0075"	34937	15765	128	571	3833	3027	198	6035	4300	0	7801	9413	5822	5883	34	314	10829	862	1141	10225	10993	1362	442	4012	240	3293	3329	56	2978	3441	3222	291	5194	786	10420	5030	5997	550	461	9178	1174	4386	1448	6269	520	1411	31042	10639	986	1488	7295	3299	3980	3044	548	2373	3166	1283	162	187	31	1812	5926	45	1063	9184	9527	917	14518	3395	3152
"msp_0076"	1860	951	4998	3761	250	528	889	1026	147	9499	3109	1652	1144	1483	1253	5828	6279	121	6192	3753	4940	1249	1166	1817	2848	2630	4524	929	439	1979	686	2415	4490	3092	308	423	1110	1190	3121	3288	1659	6132	1336	1379	9742	713	906	3619	7994	797	822	2303	24939	1566	6359	873	612	1016	3587	1377	5337	4640	1649	1652	2761	4033	4226	5189	699	134	858
"msp_0077"	0	19	9	0	0	12	0	0	0	0	171	9992	0	0	0	0	8590	0	0	0	0	0	1362	0	0	2707	0	0	0	0	2778	0	0	0	5115	0	71	0	0	0	0	2558	15159	0	0	1842	14987	0	0	0	0	18100	0	180	0	0	0	0	0	403	0	12	5450	9	0	7	1641	6126	0	837	0
"msp_0079"	1248	9532	9789	829	348	970	277	919	216	3021	1593	343	1651	757	17845	1850	12701	56	288	3629	2077	362	325	995	634	898	1486	2103	4702	257	525	0	5466	26	311	350	2405	6084	4934	0	808	1092	752	1727	17	1301	550	1684	38	1131	935	1377	24	281	3436	93	272	5137	1077	184	2457	3798	1033	0	809	4553	390	1374	230	206	5298
"msp_0081"	0	0	0	0	0	0	0	0	24317	0	0	0	0	0	0	11	0	0	0	0	0	4482	0	0	0	0	34	0	0	0	0	0	5857	15	0	0	32	0	21228	0	0	0	6257	0	103	0	0	23469	144	0	0	53	21	0	20192	1127	0	2657	0	0	0	0	0	0	0	0	0	0	0	87	0
"msp_0083"	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2365	0	0	17	3153	0	0	0	0	0	0	0	0	0	0	0	0	0	1571	0	0	0	0	0	0
"msp_0084"	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	143848	7880	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0085"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
"msp_0086"	0	11	0	10	102	0	14	0	0	0	0	0	0	0	0	42	1003	0	1229	0	33	0	0	39	0	78	11	0	0	179	36	20	0	399	0	0	0	0	0	0	0	0	0	0	0	0	27	15	169	44	0	0	0	0	0	0	0	0	50	10	94	0	0	142	2383	0	0	0	0	0	0
