"file"	"condition"	"lab"
"s.53"	"s.53"	"A"	"lab3"
"s.54"	"s.54"	"A"	"lab3"
"s.55"	"s.55"	"A"	"lab3"
"s.56"	"s.56"	"A"	"lab3"
"s.57"	"s.57"	"A"	"lab3"
"s.58"	"s.58"	"A"	"lab3"
"s.59"	"s.59"	"A"	"lab2"
"s.60"	"s.60"	"A"	"lab3"
"s.61"	"s.61"	"A"	"lab3"
"s.62"	"s.62"	"A"	"lab3"
"s.63"	"s.63"	"A"	"lab3"
"s.64"	"s.64"	"A"	"lab3"
"s.65"	"s.65"	"A"	"lab3"
"s.66"	"s.66"	"A"	"lab3"
"s.67"	"s.67"	"A"	"lab3"
"s.68"	"s.68"	"A"	"lab3"
"s.69"	"s.69"	"A"	"lab3"
"s.70"	"s.70"	"A"	"lab3"
"s.71"	"s.71"	"A"	"lab3"
"s.72"	"s.72"	"A"	"lab3"
"s.73"	"s.73"	"A"	"lab3"
"s.74"	"s.74"	"A"	"lab3"
"s.75"	"s.75"	"A"	"lab3"
"s.76"	"s.76"	"A"	"lab3"
"s.77"	"s.77"	"A"	"lab3"
"s.78"	"s.78"	"A"	"lab3"
"s.79"	"s.79"	"A"	"lab2"
"s.80"	"s.80"	"A"	"lab3"
"s.81"	"s.81"	"A"	"lab3"
"s.82"	"s.82"	"A"	"lab2"
"s.83"	"s.83"	"A"	"lab3"
"s.84"	"s.84"	"A"	"lab3"
"s.85"	"s.85"	"A"	"lab3"
"s.86"	"s.86"	"A"	"lab3"
"s.87"	"s.87"	"A"	"lab3"
"s.88"	"s.88"	"A"	"lab3"
"s.89"	"s.89"	"A"	"lab3"
"s.90"	"s.90"	"A"	"lab3"
"s.91"	"s.91"	"A"	"lab1"
"s.92"	"s.92"	"A"	"lab3"
"s.93"	"s.93"	"A"	"lab3"
"s.94"	"s.94"	"A"	"lab3"
"s.95"	"s.95"	"A"	"lab1"
"s.96"	"s.96"	"A"	"lab3"
"s.97"	"s.97"	"A"	"lab3"
"s.98"	"s.98"	"A"	"lab1"
"s.99"	"s.99"	"A"	"lab3"
"s.100"	"s.100"	"A"	"lab2"
"s.101"	"s.101"	"A"	"lab2"
"s.102"	"s.102"	"A"	"lab3"
"s.103"	"s.103"	"A"	"lab3"
"s.104"	"s.104"	"A"	"lab3"
"s.105"	"s.105"	"A"	"lab3"
"s.106"	"s.106"	"A"	"lab3"
"s.107"	"s.107"	"A"	"lab3"
"s.108"	"s.108"	"A"	"lab1"
"s.109"	"s.109"	"A"	"lab3"
"s.110"	"s.110"	"A"	"lab3"
"s.111"	"s.111"	"A"	"lab3"
"s.112"	"s.112"	"A"	"lab3"
"s.113"	"s.113"	"A"	"lab3"
"s.114"	"s.114"	"A"	"lab3"
"s.115"	"s.115"	"A"	"lab3"
"s.116"	"s.116"	"A"	"lab3"
"s.117"	"s.117"	"A"	"lab3"
"s.118"	"s.118"	"A"	"lab3"
"s.119"	"s.119"	"A"	"lab3"
"s.120"	"s.120"	"A"	"lab2"
"s.121"	"s.121"	"A"	"lab2"
"s.122"	"s.122"	"A"	"lab3"
"s.123"	"s.123"	"A"	"lab3"
"s.124"	"s.124"	"A"	"lab3"
"s.125"	"s.125"	"A"	"lab3"
"s.126"	"s.126"	"A"	"lab3"
"s.127"	"s.127"	"A"	"lab3"
"s.128"	"s.128"	"A"	"lab3"
"s.129"	"s.129"	"A"	"lab3"
"s.130"	"s.130"	"A"	"lab3"
"s.131"	"s.131"	"A"	"lab3"
"s.132"	"s.132"	"A"	"lab1"
"s.133"	"s.133"	"A"	"lab3"
"s.134"	"s.134"	"A"	"lab2"
"s.135"	"s.135"	"A"	"lab3"
"s.136"	"s.136"	"A"	"lab3"
"s.137"	"s.137"	"A"	"lab2"
"s.138"	"s.138"	"A"	"lab3"
"s.139"	"s.139"	"A"	"lab3"
"s.140"	"s.140"	"A"	"lab1"
"s.141"	"s.141"	"A"	"lab3"
"s.142"	"s.142"	"A"	"lab3"
"s.143"	"s.143"	"A"	"lab3"
"s.144"	"s.144"	"A"	"lab3"
"s.145"	"s.145"	"A"	"lab3"
"s.146"	"s.146"	"A"	"lab3"
"s.147"	"s.147"	"A"	"lab3"
"s.148"	"s.148"	"A"	"lab3"
"s.149"	"s.149"	"A"	"lab3"
"s.150"	"s.150"	"A"	"lab3"
"s.151"	"s.151"	"A"	"lab3"
"s.152"	"s.152"	"A"	"lab3"
"s.153"	"s.153"	"A"	"lab3"
"s.154"	"s.154"	"A"	"lab3"
"s.155"	"s.155"	"A"	"lab3"
"s.156"	"s.156"	"A"	"lab3"
"s.157"	"s.157"	"A"	"lab3"
"s.158"	"s.158"	"A"	"lab3"
"s.159"	"s.159"	"A"	"lab3"
"s.160"	"s.160"	"A"	"lab3"
"s.161"	"s.161"	"A"	"lab3"
"s.162"	"s.162"	"A"	"lab3"
"s.163"	"s.163"	"A"	"lab3"
"s.164"	"s.164"	"A"	"lab2"
"s.165"	"s.165"	"A"	"lab3"
"s.166"	"s.166"	"A"	"lab3"
"s.167"	"s.167"	"A"	"lab3"
"s.168"	"s.168"	"A"	"lab3"
"s.169"	"s.169"	"A"	"lab1"
"s.170"	"s.170"	"A"	"lab3"
"s.171"	"s.171"	"A"	"lab3"
"s.172"	"s.172"	"A"	"lab3"
"s.173"	"s.173"	"A"	"lab2"
"s.174"	"s.174"	"A"	"lab3"
"s.175"	"s.175"	"A"	"lab2"
"s.176"	"s.176"	"A"	"lab3"
"s.177"	"s.177"	"A"	"lab3"
"s.178"	"s.178"	"A"	"lab3"
"s.179"	"s.179"	"A"	"lab3"
"s.180"	"s.180"	"A"	"lab3"
"s.181"	"s.181"	"A"	"lab3"
"s.182"	"s.182"	"A"	"lab3"
"s.183"	"s.183"	"A"	"lab3"
"s.184"	"s.184"	"A"	"lab3"
"s.185"	"s.185"	"A"	"lab3"
"s.186"	"s.186"	"A"	"lab3"
"s.187"	"s.187"	"A"	"lab3"
"s.188"	"s.188"	"A"	"lab3"
"s.189"	"s.189"	"A"	"lab3"
"s.190"	"s.190"	"A"	"lab1"
"s.191"	"s.191"	"A"	"lab3"
"s.192"	"s.192"	"A"	"lab3"
"s.193"	"s.193"	"A"	"lab3"
"s.194"	"s.194"	"A"	"lab3"
"s.195"	"s.195"	"A"	"lab3"
"s.196"	"s.196"	"A"	"lab3"
"s.197"	"s.197"	"A"	"lab2"
"s.198"	"s.198"	"A"	"lab3"
"s.199"	"s.199"	"A"	"lab3"
"s.200"	"s.200"	"A"	"lab3"
"s.201"	"s.201"	"A"	"lab3"
"s.202"	"s.202"	"A"	"lab2"
"s.203"	"s.203"	"A"	"lab3"
"s.204"	"s.204"	"A"	"lab3"
"s.205"	"s.205"	"A"	"lab3"
"s.206"	"s.206"	"A"	"lab3"
"s.207"	"s.207"	"A"	"lab3"
"s.208"	"s.208"	"A"	"lab3"
"s.209"	"s.209"	"A"	"lab3"
"s.210"	"s.210"	"A"	"lab1"
"s.211"	"s.211"	"A"	"lab2"
"s.212"	"s.212"	"A"	"lab2"
"s.213"	"s.213"	"A"	"lab3"
"s.214"	"s.214"	"A"	"lab3"
"s.215"	"s.215"	"A"	"lab1"
"s.216"	"s.216"	"A"	"lab3"
"s.217"	"s.217"	"A"	"lab3"
"s.218"	"s.218"	"A"	"lab3"
"s.219"	"s.219"	"A"	"lab3"
"s.220"	"s.220"	"A"	"lab3"
"s.221"	"s.221"	"A"	"lab3"
"s.222"	"s.222"	"A"	"lab3"
"s.223"	"s.223"	"A"	"lab3"
"s.224"	"s.224"	"A"	"lab1"
"s.225"	"s.225"	"A"	"lab3"
"s.226"	"s.226"	"A"	"lab3"
"s.227"	"s.227"	"A"	"lab3"
"s.228"	"s.228"	"A"	"lab1"
"s.229"	"s.229"	"A"	"lab1"
"s.230"	"s.230"	"A"	"lab3"
"s.231"	"s.231"	"A"	"lab3"
"s.232"	"s.232"	"A"	"lab3"
"s.233"	"s.233"	"A"	"lab3"
"s.234"	"s.234"	"A"	"lab3"
"s.235"	"s.235"	"A"	"lab3"
"s.236"	"s.236"	"A"	"lab3"
"s.237"	"s.237"	"A"	"lab3"
"s.238"	"s.238"	"A"	"lab3"
"s.239"	"s.239"	"A"	"lab3"
"s.240"	"s.240"	"A"	"lab3"
"s.241"	"s.241"	"A"	"lab3"
"s.242"	"s.242"	"A"	"lab1"
"s.243"	"s.243"	"A"	"lab3"
"s.244"	"s.244"	"A"	"lab3"
"s.245"	"s.245"	"A"	"lab3"
"s.246"	"s.246"	"A"	"lab3"
"s.247"	"s.247"	"A"	"lab3"
"s.248"	"s.248"	"A"	"lab3"
"s.249"	"s.249"	"A"	"lab3"
"s.250"	"s.250"	"A"	"lab3"
"s.251"	"s.251"	"A"	"lab3"
"s.252"	"s.252"	"A"	"lab3"
"s.253"	"s.253"	"A"	"lab3"
"s.254"	"s.254"	"A"	"lab3"
"s.255"	"s.255"	"A"	"lab3"
"s.256"	"s.256"	"A"	"lab3"
"s.257"	"s.257"	"A"	"lab3"
"s.258"	"s.258"	"A"	"lab2"
"s.259"	"s.259"	"A"	"lab3"
"s.260"	"s.260"	"A"	"lab1"
"s.261"	"s.261"	"A"	"lab3"
"s.262"	"s.262"	"A"	"lab3"
"s.263"	"s.263"	"A"	"lab3"
"s.264"	"s.264"	"A"	"lab3"
"s.265"	"s.265"	"A"	"lab3"
"s.266"	"s.266"	"A"	"lab1"
"s.267"	"s.267"	"A"	"lab3"
"s.268"	"s.268"	"A"	"lab3"
"s.269"	"s.269"	"A"	"lab3"
"s.270"	"s.270"	"A"	"lab3"
"s.271"	"s.271"	"A"	"lab3"
"s.272"	"s.272"	"A"	"lab3"
"s.273"	"s.273"	"A"	"lab1"
"s.274"	"s.274"	"A"	"lab3"
"s.275"	"s.275"	"A"	"lab3"
"s.276"	"s.276"	"A"	"lab3"
"s.277"	"s.277"	"A"	"lab3"
"s.278"	"s.278"	"A"	"lab3"
"s.279"	"s.279"	"A"	"lab2"
"s.280"	"s.280"	"A"	"lab1"
"s.281"	"s.281"	"A"	"lab3"
"s.282"	"s.282"	"A"	"lab2"
"s.283"	"s.283"	"A"	"lab3"
"s.284"	"s.284"	"A"	"lab3"
"s.285"	"s.285"	"A"	"lab3"
"s.286"	"s.286"	"A"	"lab2"
"s.287"	"s.287"	"A"	"lab3"
"s.288"	"s.288"	"A"	"lab3"
"s.289"	"s.289"	"A"	"lab3"
"s.290"	"s.290"	"A"	"lab3"
"s.291"	"s.291"	"A"	"lab1"
"s.292"	"s.292"	"A"	"lab1"
"s.293"	"s.293"	"A"	"lab3"
"s.294"	"s.294"	"A"	"lab1"
"s.295"	"s.295"	"A"	"lab3"
"s.296"	"s.296"	"A"	"lab2"
"s.297"	"s.297"	"A"	"lab3"
"s.298"	"s.298"	"A"	"lab3"
"s.299"	"s.299"	"A"	"lab3"
"s.300"	"s.300"	"A"	"lab3"
"s.301"	"s.301"	"A"	"lab3"
"s.302"	"s.302"	"A"	"lab3"
"s.303"	"s.303"	"A"	"lab3"
"s.304"	"s.304"	"A"	"lab3"
"s.305"	"s.305"	"A"	"lab3"
"s.306"	"s.306"	"A"	"lab3"
"s.307"	"s.307"	"A"	"lab3"
"s.308"	"s.308"	"A"	"lab3"
"s.309"	"s.309"	"A"	"lab3"
"s.310"	"s.310"	"A"	"lab3"
"s.311"	"s.311"	"A"	"lab1"
"s.312"	"s.312"	"A"	"lab3"
"s.313"	"s.313"	"A"	"lab3"
"s.314"	"s.314"	"A"	"lab2"
"s.315"	"s.315"	"A"	"lab3"
"s.316"	"s.316"	"A"	"lab3"
"s.317"	"s.317"	"A"	"lab3"
"s.318"	"s.318"	"A"	"lab3"
"s.319"	"s.319"	"A"	"lab3"
"s.320"	"s.320"	"A"	"lab3"
"s.321"	"s.321"	"A"	"lab3"
"s.322"	"s.322"	"A"	"lab3"
"s.323"	"s.323"	"A"	"lab3"
"s.324"	"s.324"	"A"	"lab3"
"s.325"	"s.325"	"A"	"lab3"
"s.326"	"s.326"	"A"	"lab3"
"s.327"	"s.327"	"A"	"lab1"
"s.328"	"s.328"	"A"	"lab2"
"s.329"	"s.329"	"A"	"lab3"
"s.330"	"s.330"	"A"	"lab3"
"s.331"	"s.331"	"A"	"lab2"
"s.332"	"s.332"	"A"	"lab3"
"s.333"	"s.333"	"A"	"lab3"
"s.334"	"s.334"	"A"	"lab3"
"s.335"	"s.335"	"A"	"lab1"
"s.336"	"s.336"	"A"	"lab3"
"s.337"	"s.337"	"A"	"lab1"
"s.338"	"s.338"	"A"	"lab3"
"s.339"	"s.339"	"A"	"lab3"
"s.340"	"s.340"	"A"	"lab3"
"s.341"	"s.341"	"A"	"lab1"
"s.342"	"s.342"	"A"	"lab3"
"s.343"	"s.343"	"A"	"lab1"
"s.344"	"s.344"	"A"	"lab2"
"s.345"	"s.345"	"A"	"lab3"
"s.346"	"s.346"	"A"	"lab3"
"s.347"	"s.347"	"A"	"lab3"
"s.348"	"s.348"	"A"	"lab3"
"s.349"	"s.349"	"B"	"lab3"
"s.350"	"s.350"	"B"	"lab3"
"s.351"	"s.351"	"B"	"lab3"
"s.352"	"s.352"	"B"	"lab2"
"s.353"	"s.353"	"B"	"lab2"
"s.354"	"s.354"	"B"	"lab3"
"s.355"	"s.355"	"B"	"lab3"
"s.356"	"s.356"	"B"	"lab2"
"s.357"	"s.357"	"B"	"lab3"
"s.358"	"s.358"	"B"	"lab3"
"s.359"	"s.359"	"B"	"lab2"
"s.360"	"s.360"	"B"	"lab3"
"s.361"	"s.361"	"B"	"lab2"
"s.362"	"s.362"	"B"	"lab2"
"s.363"	"s.363"	"B"	"lab3"
"s.364"	"s.364"	"B"	"lab3"
"s.365"	"s.365"	"B"	"lab3"
"s.366"	"s.366"	"B"	"lab3"
"s.367"	"s.367"	"B"	"lab3"
"s.368"	"s.368"	"B"	"lab2"
"s.369"	"s.369"	"B"	"lab3"
"s.370"	"s.370"	"B"	"lab3"
"s.371"	"s.371"	"B"	"lab3"
"s.372"	"s.372"	"B"	"lab3"
"s.373"	"s.373"	"B"	"lab3"
"s.374"	"s.374"	"B"	"lab3"
"s.375"	"s.375"	"B"	"lab1"
"s.376"	"s.376"	"B"	"lab3"
"s.377"	"s.377"	"B"	"lab3"
"s.378"	"s.378"	"B"	"lab3"
"s.379"	"s.379"	"B"	"lab3"
"s.380"	"s.380"	"B"	"lab3"
"s.381"	"s.381"	"B"	"lab2"
"s.382"	"s.382"	"B"	"lab3"
"s.383"	"s.383"	"B"	"lab3"
"s.384"	"s.384"	"B"	"lab3"
"s.385"	"s.385"	"B"	"lab2"
"s.386"	"s.386"	"B"	"lab3"
"s.387"	"s.387"	"B"	"lab1"
"s.388"	"s.388"	"B"	"lab2"
"s.389"	"s.389"	"B"	"lab3"
"s.390"	"s.390"	"B"	"lab3"
"s.391"	"s.391"	"B"	"lab3"
"s.392"	"s.392"	"B"	"lab2"
"s.393"	"s.393"	"B"	"lab3"
"s.394"	"s.394"	"B"	"lab3"
"s.395"	"s.395"	"B"	"lab3"
"s.396"	"s.396"	"B"	"lab3"
"s.397"	"s.397"	"B"	"lab3"
"s.398"	"s.398"	"B"	"lab3"
"s.399"	"s.399"	"B"	"lab2"
"s.400"	"s.400"	"B"	"lab3"
"s.401"	"s.401"	"B"	"lab3"
"s.402"	"s.402"	"B"	"lab3"
"s.403"	"s.403"	"B"	"lab3"
"s.404"	"s.404"	"B"	"lab3"
"s.405"	"s.405"	"B"	"lab3"
"s.406"	"s.406"	"B"	"lab3"
"s.407"	"s.407"	"B"	"lab2"
"s.408"	"s.408"	"B"	"lab3"
"s.409"	"s.409"	"B"	"lab3"
"s.410"	"s.410"	"B"	"lab3"
"s.411"	"s.411"	"B"	"lab3"
"s.412"	"s.412"	"B"	"lab2"
"s.413"	"s.413"	"B"	"lab3"
"s.414"	"s.414"	"B"	"lab1"
"s.415"	"s.415"	"B"	"lab3"
"s.416"	"s.416"	"B"	"lab3"
"s.417"	"s.417"	"B"	"lab3"
"s.418"	"s.418"	"B"	"lab3"
"s.419"	"s.419"	"B"	"lab3"
"s.420"	"s.420"	"B"	"lab2"
"s.421"	"s.421"	"B"	"lab3"
"s.422"	"s.422"	"B"	"lab2"
"s.423"	"s.423"	"B"	"lab3"
"s.424"	"s.424"	"B"	"lab3"
"s.425"	"s.425"	"B"	"lab3"
"s.426"	"s.426"	"B"	"lab3"
"s.427"	"s.427"	"B"	"lab3"
"s.428"	"s.428"	"B"	"lab3"
"s.429"	"s.429"	"B"	"lab3"
"s.430"	"s.430"	"B"	"lab3"
"s.431"	"s.431"	"B"	"lab3"
"s.432"	"s.432"	"B"	"lab3"
"s.433"	"s.433"	"B"	"lab3"
"s.434"	"s.434"	"B"	"lab3"
"s.435"	"s.435"	"B"	"lab2"
"s.436"	"s.436"	"B"	"lab3"
"s.437"	"s.437"	"B"	"lab3"
"s.438"	"s.438"	"B"	"lab3"
"s.439"	"s.439"	"B"	"lab3"
"s.440"	"s.440"	"B"	"lab3"
"s.441"	"s.441"	"B"	"lab1"
"s.442"	"s.442"	"B"	"lab3"
"s.443"	"s.443"	"B"	"lab3"
"s.444"	"s.444"	"B"	"lab2"
"s.445"	"s.445"	"B"	"lab3"
"s.446"	"s.446"	"B"	"lab3"
"s.447"	"s.447"	"B"	"lab3"
"s.448"	"s.448"	"B"	"lab3"
"s.449"	"s.449"	"B"	"lab3"
"s.450"	"s.450"	"B"	"lab3"
"s.451"	"s.451"	"B"	"lab2"
"s.452"	"s.452"	"B"	"lab2"
"s.453"	"s.453"	"B"	"lab3"
"s.454"	"s.454"	"B"	"lab3"
"s.455"	"s.455"	"B"	"lab3"
"s.456"	"s.456"	"B"	"lab2"
"s.457"	"s.457"	"B"	"lab3"
"s.458"	"s.458"	"B"	"lab3"
"s.459"	"s.459"	"B"	"lab2"
"s.460"	"s.460"	"B"	"lab2"
"s.461"	"s.461"	"B"	"lab2"
"s.462"	"s.462"	"B"	"lab2"
"s.463"	"s.463"	"B"	"lab3"
"s.464"	"s.464"	"B"	"lab2"
"s.465"	"s.465"	"B"	"lab3"
"s.466"	"s.466"	"B"	"lab3"
"s.467"	"s.467"	"B"	"lab3"
"s.468"	"s.468"	"B"	"lab3"
"s.469"	"s.469"	"B"	"lab3"
"s.470"	"s.470"	"B"	"lab3"
"s.471"	"s.471"	"B"	"lab3"
"s.472"	"s.472"	"B"	"lab3"
"s.473"	"s.473"	"B"	"lab2"
"s.474"	"s.474"	"B"	"lab2"
"s.475"	"s.475"	"B"	"lab3"
"s.476"	"s.476"	"B"	"lab3"
"s.477"	"s.477"	"B"	"lab3"
"s.478"	"s.478"	"B"	"lab3"
"s.479"	"s.479"	"B"	"lab3"
"s.480"	"s.480"	"B"	"lab1"
"s.481"	"s.481"	"B"	"lab3"
"s.482"	"s.482"	"B"	"lab3"
"s.483"	"s.483"	"B"	"lab2"
"s.484"	"s.484"	"B"	"lab3"
"s.485"	"s.485"	"B"	"lab3"
"s.486"	"s.486"	"B"	"lab3"
"s.487"	"s.487"	"B"	"lab3"
"s.488"	"s.488"	"B"	"lab3"
"s.489"	"s.489"	"B"	"lab3"
"s.490"	"s.490"	"B"	"lab3"
"s.491"	"s.491"	"B"	"lab3"
"s.492"	"s.492"	"B"	"lab3"
"s.493"	"s.493"	"B"	"lab3"
"s.494"	"s.494"	"B"	"lab3"
"s.495"	"s.495"	"B"	"lab3"
"s.496"	"s.496"	"B"	"lab3"
"s.497"	"s.497"	"B"	"lab2"
"s.498"	"s.498"	"B"	"lab2"
"s.499"	"s.499"	"B"	"lab3"
"s.500"	"s.500"	"B"	"lab2"
"s.501"	"s.501"	"B"	"lab3"
"s.502"	"s.502"	"B"	"lab3"
"s.503"	"s.503"	"B"	"lab3"
"s.504"	"s.504"	"B"	"lab3"
"s.505"	"s.505"	"B"	"lab3"
"s.506"	"s.506"	"B"	"lab3"
"s.507"	"s.507"	"B"	"lab3"
"s.508"	"s.508"	"B"	"lab3"
"s.509"	"s.509"	"B"	"lab3"
"s.510"	"s.510"	"B"	"lab3"
"s.511"	"s.511"	"B"	"lab3"
"s.512"	"s.512"	"B"	"lab3"
"s.513"	"s.513"	"B"	"lab2"
"s.514"	"s.514"	"B"	"lab2"
"s.515"	"s.515"	"B"	"lab3"
"s.516"	"s.516"	"B"	"lab3"
"s.517"	"s.517"	"B"	"lab2"
"s.518"	"s.518"	"B"	"lab3"
"s.519"	"s.519"	"B"	"lab2"
"s.520"	"s.520"	"B"	"lab3"
"s.521"	"s.521"	"B"	"lab3"
"s.522"	"s.522"	"B"	"lab3"
"s.523"	"s.523"	"B"	"lab3"
"s.524"	"s.524"	"B"	"lab2"
"s.525"	"s.525"	"B"	"lab1"
"s.526"	"s.526"	"B"	"lab2"
"s.527"	"s.527"	"B"	"lab3"
"s.528"	"s.528"	"B"	"lab3"
"s.529"	"s.529"	"B"	"lab3"
"s.530"	"s.530"	"B"	"lab2"
"s.531"	"s.531"	"B"	"lab3"
"s.532"	"s.532"	"B"	"lab3"
"s.533"	"s.533"	"B"	"lab3"
"s.534"	"s.534"	"B"	"lab3"
"s.535"	"s.535"	"B"	"lab3"
"s.536"	"s.536"	"B"	"lab3"
"s.537"	"s.537"	"B"	"lab3"
"s.538"	"s.538"	"B"	"lab3"
"s.539"	"s.539"	"B"	"lab3"
"s.540"	"s.540"	"B"	"lab1"
"s.541"	"s.541"	"B"	"lab3"
"s.542"	"s.542"	"B"	"lab3"
"s.543"	"s.543"	"B"	"lab3"
"s.544"	"s.544"	"B"	"lab3"
"s.545"	"s.545"	"B"	"lab3"
"s.546"	"s.546"	"B"	"lab3"
"s.547"	"s.547"	"B"	"lab2"
"s.548"	"s.548"	"B"	"lab3"
"s.549"	"s.549"	"B"	"lab3"
"s.550"	"s.550"	"B"	"lab3"
"s.551"	"s.551"	"B"	"lab2"
"s.552"	"s.552"	"B"	"lab3"
"s.553"	"s.553"	"B"	"lab3"
"s.554"	"s.554"	"B"	"lab3"
"s.555"	"s.555"	"B"	"lab3"
"s.556"	"s.556"	"B"	"lab3"
"s.557"	"s.557"	"B"	"lab3"
"s.558"	"s.558"	"B"	"lab2"
"s.559"	"s.559"	"B"	"lab2"
"s.560"	"s.560"	"B"	"lab3"
"s.561"	"s.561"	"B"	"lab3"
"s.562"	"s.562"	"B"	"lab3"
"s.563"	"s.563"	"B"	"lab3"
"s.564"	"s.564"	"B"	"lab3"
"s.565"	"s.565"	"B"	"lab2"
"s.566"	"s.566"	"B"	"lab2"
"s.567"	"s.567"	"B"	"lab1"
"s.568"	"s.568"	"B"	"lab3"
"s.569"	"s.569"	"B"	"lab3"
"s.570"	"s.570"	"B"	"lab3"
"s.571"	"s.571"	"B"	"lab3"
"s.572"	"s.572"	"B"	"lab3"
"s.573"	"s.573"	"B"	"lab2"
"s.574"	"s.574"	"B"	"lab3"
"s.575"	"s.575"	"B"	"lab3"
"s.576"	"s.576"	"B"	"lab2"
"s.577"	"s.577"	"B"	"lab3"
"s.578"	"s.578"	"B"	"lab2"
"s.579"	"s.579"	"B"	"lab3"
"s.580"	"s.580"	"B"	"lab3"
"s.581"	"s.581"	"B"	"lab2"
"s.582"	"s.582"	"B"	"lab3"
"s.583"	"s.583"	"B"	"lab3"
"s.584"	"s.584"	"B"	"lab2"
"s.585"	"s.585"	"B"	"lab2"
"s.586"	"s.586"	"B"	"lab3"
"s.587"	"s.587"	"B"	"lab3"
"s.588"	"s.588"	"B"	"lab3"
"s.589"	"s.589"	"B"	"lab3"
"s.590"	"s.590"	"B"	"lab3"
"s.591"	"s.591"	"B"	"lab3"
"s.592"	"s.592"	"B"	"lab3"
"s.593"	"s.593"	"B"	"lab3"
"s.594"	"s.594"	"B"	"lab3"
"s.595"	"s.595"	"B"	"lab3"
"s.596"	"s.596"	"B"	"lab3"
"s.597"	"s.597"	"B"	"lab3"
"s.598"	"s.598"	"B"	"lab3"
"s.599"	"s.599"	"B"	"lab3"
"s.600"	"s.600"	"B"	"lab2"
