file	condition	lab	A
583	s.575	B	lab3	1
584	s.576	B	lab3	1
585	s.579	B	lab3	1
586	s.580	B	lab3	1
587	s.583	B	lab3	1
588	s.584	B	lab3	1
589	s.586	B	lab3	1
590	s.587	B	lab3	1
591	s.589	B	lab3	1
592	s.590	B	lab3	1
593	s.591	B	lab3	1
594	s.593	B	lab3	1
595	s.594	B	lab3	1
596	s.595	B	lab3	1
597	s.596	B	lab3	1
598	s.598	B	lab3	1
599	s.599	B	lab3	1
600	s.600	B	lab3	1
